player,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,PTS,salary,inflationAdjSalary
Kevin Gamble,1991,SF,25.0,BOS,82.0,76.0,2706.0,548.0,933.0,0.587352625937835,185.0,227.0,0.8149779735682819,1281.0,1400000.0,3050260.0
Winston Garland,1991,PG,26.0,LAC,69.0,26.0,1702.0,221.0,519.0,0.4258188824662813,118.0,157.0,0.7515923566878981,564.0,450000.0,980440.0
Tom Garrick,1991,SG,24.0,LAC,67.0,0.0,949.0,100.0,236.0,0.423728813559322,60.0,79.0,0.759493670886076,260.0,200000.0,435751.0
Kenny Gattison,1991,PF,26.0,CHH,72.0,6.0,1552.0,243.0,457.0,0.5317286652078774,164.0,248.0,0.6612903225806451,650.0,456000.0,993513.0
Tate George,1991,PG,22.0,NJN,56.0,11.0,594.0,80.0,193.0,0.41450777202072536,32.0,40.0,0.8,192.0,481000.0,1047982.0
Kendall Gill,1991,SG,22.0,CHH,82.0,36.0,1944.0,376.0,836.0,0.44976076555023925,152.0,182.0,0.8351648351648352,906.0,1908000.0,4157069.0
Armen Gilliam,1991,PF,26.0,TOT,75.0,75.0,2644.0,487.0,1001.0,0.4865134865134865,268.0,329.0,0.8145896656534954,1242.0,1350000.0,2941322.0
Armen Gilliam,1991,PF,26.0,CHH,25.0,25.0,949.0,195.0,380.0,0.5131578947368421,104.0,128.0,0.8125,494.0,1350000.0,2941322.0
Armen Gilliam,1991,PF,26.0,PHI,50.0,50.0,1695.0,292.0,621.0,0.47020933977455714,164.0,201.0,0.8159203980099502,748.0,1350000.0,2941322.0
Gerald Glass,1991,SF,23.0,MIN,51.0,3.0,606.0,149.0,340.0,0.43823529411764706,52.0,76.0,0.6842105263157895,352.0,705000.0,1536023.0
Mike Gminski,1991,C,31.0,TOT,80.0,79.0,2196.0,357.0,808.0,0.44183168316831684,128.0,158.0,0.810126582278481,844.0,1850000.0,4030701.0
Mike Gminski,1991,C,31.0,PHI,30.0,29.0,791.0,109.0,284.0,0.38380281690140844,53.0,63.0,0.8412698412698413,272.0,1850000.0,4030701.0
Mike Gminski,1991,C,31.0,CHH,50.0,50.0,1405.0,248.0,524.0,0.4732824427480916,75.0,95.0,0.7894736842105263,572.0,1850000.0,4030701.0
Dan Godfread,1991,C,23.0,MIN,10.0,0.0,20.0,5.0,12.0,0.4166666666666667,3.0,4.0,0.75,13.0,100000.0,217875.0
Gary Grant,1991,PG,25.0,LAC,68.0,65.0,2105.0,265.0,587.0,0.4514480408858603,51.0,74.0,0.6891891891891891,590.0,928000.0,2021886.0
Harvey Grant,1991,PF,25.0,WSB,77.0,76.0,2842.0,609.0,1224.0,0.49754901960784315,185.0,249.0,0.7429718875502008,1405.0,450000.0,980440.0
Horace Grant,1991,PF,25.0,CHI,78.0,76.0,2641.0,401.0,733.0,0.5470668485675307,197.0,277.0,0.7111913357400722,1000.0,1750000.0,3812825.0
Stuart Gray,1991,C,27.0,NYK,8.0,0.0,37.0,4.0,12.0,0.3333333333333333,3.0,3.0,1.0,11.0,520000.0,1132953.0
Jeff Grayer,1991,SG,25.0,MIL,82.0,7.0,1422.0,210.0,485.0,0.4329896907216495,101.0,147.0,0.6870748299319728,521.0,950000.0,2069819.0
A.C. Green,1991,PF,27.0,LAL,82.0,21.0,2164.0,258.0,542.0,0.47601476014760147,223.0,302.0,0.7384105960264901,750.0,1750000.0,3812825.0
Rickey Green,1991,PG,36.0,PHI,79.0,75.0,2248.0,334.0,722.0,0.4626038781163435,117.0,141.0,0.8297872340425532,793.0,445000.0,969546.0
Sidney Green,1991,PF,30.0,SAS,66.0,7.0,1099.0,177.0,384.0,0.4609375,89.0,105.0,0.8476190476190476,443.0,1063000.0,2316019.0
Darrell Griffith,1991,SG,32.0,UTA,75.0,2.0,1005.0,174.0,445.0,0.39101123595505616,34.0,45.0,0.7555555555555555,430.0,850000.0,1851943.0
Jack Haley,1991,PF,27.0,NJN,78.0,18.0,1178.0,161.0,343.0,0.46938775510204084,112.0,181.0,0.6187845303867403,434.0,300000.0,653627.0
Tom Hammonds,1991,PF,23.0,WSB,70.0,7.0,1023.0,155.0,336.0,0.46130952380952384,57.0,79.0,0.7215189873417721,367.0,825000.0,1797474.0
Bob Hansen,1991,SG,30.0,SAC,36.0,24.0,811.0,96.0,256.0,0.375,18.0,36.0,0.5,229.0,600000.0,1307254.0
Tim Hardaway,1991,PG,24.0,GSW,82.0,82.0,3215.0,739.0,1551.0,0.4764667956157318,306.0,381.0,0.8031496062992126,1881.0,640000.0,1394404.0
Derek Harper,1991,PG,29.0,DAL,77.0,77.0,2879.0,572.0,1226.0,0.466557911908646,286.0,391.0,0.731457800511509,1519.0,1725000.0,3758356.0
Ron Harper,1991,SG,27.0,LAC,39.0,34.0,1383.0,285.0,729.0,0.39094650205761317,145.0,217.0,0.6682027649769585,763.0,1650000.0,3594949.0
Scott Hastings,1991,PF,30.0,DET,27.0,0.0,113.0,16.0,28.0,0.5714285714285714,13.0,13.0,1.0,48.0,500000.0,1089378.0
Hersey Hawkins,1991,SG,24.0,PHI,80.0,80.0,3110.0,590.0,1251.0,0.47162270183852917,479.0,550.0,0.8709090909090909,1767.0,805000.0,1753899.0
Steve Henson,1991,PG,22.0,MIL,68.0,0.0,690.0,79.0,189.0,0.41798941798941797,38.0,42.0,0.9047619047619048,214.0,350000.0,762565.0
Rod Higgins,1991,SF,31.0,GSW,82.0,9.0,2024.0,259.0,559.0,0.46332737030411447,185.0,226.0,0.8185840707964602,776.0,550000.0,1198316.0
Tyrone Hill,1991,PF,22.0,GSW,74.0,22.0,1192.0,147.0,299.0,0.4916387959866221,96.0,152.0,0.631578947368421,390.0,1200000.0,2614508.0
Roy Hinson,1991,PF,29.0,NJN,9.0,0.0,91.0,20.0,39.0,0.5128205128205128,1.0,3.0,0.3333333333333333,41.0,943000.0,2054568.0
Craig Hodges,1991,SG,30.0,CHI,73.0,0.0,843.0,146.0,344.0,0.42441860465116277,26.0,27.0,0.9629629629629629,362.0,700000.0,1525130.0
Dave Hoppen,1991,C,26.0,TOT,30.0,0.0,155.0,24.0,44.0,0.5454545454545454,16.0,22.0,0.7272727272727273,64.0,500000.0,1089378.0
Dave Hoppen,1991,C,26.0,CHH,19.0,0.0,112.0,18.0,32.0,0.5625,8.0,10.0,0.8,44.0,500000.0,1089378.0
Dave Hoppen,1991,C,26.0,PHI,11.0,0.0,43.0,6.0,12.0,0.5,8.0,12.0,0.6666666666666666,20.0,500000.0,1089378.0
Dennis Hopson,1991,SF,25.0,CHI,61.0,0.0,728.0,104.0,244.0,0.4262295081967213,55.0,83.0,0.6626506024096386,264.0,950000.0,2069819.0
Jeff Hornacek,1991,SG,27.0,PHO,80.0,77.0,2733.0,544.0,1051.0,0.5176022835394862,201.0,224.0,0.8973214285714286,1350.0,1428000.0,3111265.0
Jay Humphries,1991,PG,28.0,MIL,80.0,80.0,2726.0,482.0,960.0,0.5020833333333333,191.0,239.0,0.799163179916318,1215.0,760000.0,1655855.0
Mark Jackson,1991,PG,25.0,NYK,72.0,21.0,1595.0,250.0,508.0,0.4921259842519685,117.0,160.0,0.73125,630.0,1250000.0,2723446.0
Dave Jamerson,1991,SG,23.0,HOU,37.0,0.0,202.0,43.0,113.0,0.3805309734513274,22.0,27.0,0.8148148148148148,113.0,840000.0,1830156.0
Henry James,1991,PF,25.0,CLE,37.0,4.0,505.0,112.0,254.0,0.4409448818897638,52.0,72.0,0.7222222222222222,300.0,477000.0,1039267.0
Les Jepsen,1991,C,23.0,GSW,21.0,0.0,105.0,11.0,36.0,0.3055555555555556,6.0,9.0,0.6666666666666666,28.0,504000.0,1098093.0
Buck Johnson,1991,SF,27.0,HOU,73.0,70.0,2279.0,416.0,873.0,0.4765177548682703,157.0,216.0,0.7268518518518519,991.0,775000.0,1688536.0
Eddie Johnson,1991,SG,31.0,TOT,81.0,27.0,2085.0,543.0,1122.0,0.4839572192513369,229.0,257.0,0.8910505836575876,1354.0,1050000.0,2287695.0
Eddie Johnson,1991,SG,31.0,PHO,15.0,0.0,312.0,88.0,186.0,0.4731182795698925,21.0,29.0,0.7241379310344828,203.0,1050000.0,2287695.0
Eddie Johnson,1991,SG,31.0,SEA,66.0,27.0,1773.0,455.0,936.0,0.4861111111111111,208.0,228.0,0.9122807017543859,1151.0,1050000.0,2287695.0
Kevin Johnson,1991,PG,24.0,PHO,77.0,76.0,2772.0,591.0,1145.0,0.5161572052401747,519.0,616.0,0.8425324675324676,1710.0,1950000.0,4248576.0
Magic Johnson,1991,PG,31.0,LAL,79.0,79.0,2933.0,466.0,976.0,0.4774590163934426,519.0,573.0,0.9057591623036649,1531.0,2500000.0,5446893.0
Vinnie Johnson,1991,SG,34.0,DET,82.0,28.0,2390.0,406.0,936.0,0.4337606837606838,135.0,209.0,0.645933014354067,958.0,1580000.0,3442436.0
Charles Jones,1991,C,33.0,WSB,62.0,54.0,1499.0,67.0,124.0,0.5403225806451613,29.0,50.0,0.58,163.0,750000.0,1634068.0
Michael Jordan,1991,SG,27.0,CHI,82.0,82.0,3034.0,990.0,1837.0,0.5389221556886228,571.0,671.0,0.8509687034277198,2580.0,3250000.0,7080961.0
Shawn Kemp,1991,PF,21.0,SEA,81.0,66.0,2442.0,462.0,909.0,0.5082508250825083,288.0,436.0,0.6605504587155964,1214.0,430000.0,936865.0
Steve Kerr,1991,PG,25.0,CLE,57.0,4.0,905.0,99.0,223.0,0.4439461883408072,45.0,53.0,0.8490566037735849,271.0,553000.0,1204852.0
Jerome Kersey,1991,SF,28.0,POR,73.0,72.0,2359.0,424.0,887.0,0.47801578354002255,232.0,327.0,0.709480122324159,1084.0,561000.0,1222282.0
Alec Kessler,1991,C,24.0,MIA,78.0,18.0,1259.0,199.0,468.0,0.4252136752136752,88.0,131.0,0.6717557251908397,486.0,1122000.0,2444565.0
Bo Kimble,1991,SG,24.0,LAC,62.0,22.0,1004.0,159.0,418.0,0.3803827751196172,92.0,119.0,0.773109243697479,429.0,1150000.0,2505570.0
Bernard King,1991,SF,34.0,WSB,64.0,64.0,2401.0,713.0,1511.0,0.47187293183322304,383.0,485.0,0.7896907216494845,1817.0,2525000.0,5501362.0
Stacey King,1991,PF,24.0,CHI,76.0,6.0,1198.0,156.0,334.0,0.46706586826347307,107.0,152.0,0.7039473684210527,419.0,1100000.0,2396633.0
Greg Kite,1991,C,29.0,ORL,82.0,82.0,2225.0,166.0,338.0,0.4911242603550296,63.0,123.0,0.5121951219512195,395.0,700000.0,1525130.0
Joe Kleine,1991,C,29.0,BOS,72.0,1.0,850.0,102.0,218.0,0.46788990825688076,54.0,69.0,0.782608695652174,258.0,950000.0,2069819.0
Negele Knight,1991,PG,23.0,PHO,64.0,6.0,792.0,131.0,308.0,0.4253246753246753,71.0,118.0,0.6016949152542372,339.0,469000.0,1021837.0
Bart Kofoed,1991,SG,26.0,GSW,5.0,0.0,21.0,0.0,3.0,0.0,3.0,6.0,0.5,3.0,130000.0,283238.0
Jon Koncak,1991,C,27.0,ATL,77.0,61.0,1931.0,140.0,321.0,0.43613707165109034,32.0,54.0,0.5925925925925926,313.0,2000000.0,4357514.0
Bill Laimbeer,1991,C,33.0,DET,82.0,81.0,2668.0,372.0,778.0,0.4781491002570694,123.0,147.0,0.8367346938775511,904.0,1369000.0,2982718.0
Jerome Lane,1991,PF,24.0,DEN,62.0,25.0,1383.0,202.0,461.0,0.43817787418655096,58.0,141.0,0.41134751773049644,463.0,640000.0,1394404.0
Andrew Lang,1991,C,24.0,PHO,63.0,18.0,1152.0,109.0,189.0,0.5767195767195767,93.0,130.0,0.7153846153846154,311.0,700000.0,1525130.0
Eric Leckner,1991,C,24.0,TOT,72.0,2.0,1122.0,131.0,294.0,0.445578231292517,62.0,111.0,0.5585585585585585,324.0,618000.0,1346472.0
Eric Leckner,1991,C,24.0,SAC,32.0,0.0,378.0,39.0,96.0,0.40625,16.0,27.0,0.5925925925925926,94.0,618000.0,1346472.0
Eric Leckner,1991,C,24.0,CHH,40.0,2.0,744.0,92.0,198.0,0.46464646464646464,46.0,84.0,0.5476190476190477,230.0,618000.0,1346472.0
Jim Les,1991,PG,27.0,SAC,55.0,8.0,1399.0,119.0,268.0,0.44402985074626866,86.0,103.0,0.8349514563106796,395.0,323000.0,703738.0
Fat Lever,1991,SG,30.0,DAL,4.0,0.0,86.0,9.0,23.0,0.391304347826087,11.0,14.0,0.7857142857142857,29.0,1619000.0,3527408.0
Cliff Levingston,1991,PF,30.0,CHI,78.0,0.0,1013.0,127.0,282.0,0.450354609929078,59.0,91.0,0.6483516483516484,314.0,1350000.0,2941322.0
Reggie Lewis,1991,SG,25.0,BOS,79.0,79.0,2878.0,598.0,1219.0,0.49056603773584906,281.0,340.0,0.8264705882352941,1478.0,3340000.0,7277049.0
Marcus Liberty,1991,SF,22.0,DEN,76.0,18.0,1171.0,216.0,513.0,0.42105263157894735,58.0,92.0,0.6304347826086957,507.0,260000.0,566476.0
Todd Lichti,1991,SG,24.0,DEN,29.0,25.0,860.0,166.0,378.0,0.43915343915343913,59.0,69.0,0.855072463768116,405.0,565000.0,1230997.0
Alton Lister,1991,C,32.0,GSW,77.0,65.0,1552.0,188.0,393.0,0.47837150127226463,115.0,202.0,0.5693069306930693,491.0,1333000.0,2904283.0
Ian Lockhart,1991,SF,23.0,PHO,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,263000.0,573013.0
Brad Lohaus,1991,PF,26.0,MIL,81.0,3.0,1219.0,179.0,415.0,0.43132530120481927,37.0,54.0,0.6851851851851852,428.0,1377000.0,3000148.0
Grant Long,1991,PF,24.0,MIA,80.0,66.0,2514.0,276.0,561.0,0.4919786096256685,181.0,230.0,0.7869565217391304,734.0,252000.0,549046.0
Dan Majerle,1991,SF,25.0,PHO,77.0,7.0,2281.0,397.0,821.0,0.4835566382460414,227.0,298.0,0.761744966442953,1051.0,535000.0,1165635.0
Jeff Malone,1991,SG,29.0,UTA,69.0,69.0,2466.0,525.0,1034.0,0.5077369439071566,231.0,252.0,0.9166666666666666,1282.0,1580000.0,3442436.0
Karl Malone,1991,PF,27.0,UTA,82.0,82.0,3302.0,847.0,1608.0,0.5267412935323383,684.0,888.0,0.7702702702702703,2382.0,2556000.0,5568903.0
Moses Malone,1991,C,35.0,ATL,82.0,15.0,1912.0,280.0,598.0,0.4682274247491639,309.0,372.0,0.8306451612903226,869.0,1600000.0,3486011.0
Danny Manning,1991,PF,24.0,LAC,73.0,47.0,2197.0,470.0,905.0,0.5193370165745856,219.0,306.0,0.7156862745098039,1159.0,2300000.0,5011141.0
Anthony Mason,1991,PF,24.0,DEN,3.0,0.0,21.0,2.0,4.0,0.5,6.0,8.0,0.75,10.0,210000.0,457539.0
Tony Massenburg,1991,PF,23.0,SAS,35.0,0.0,161.0,27.0,60.0,0.45,28.0,45.0,0.6222222222222222,82.0,200000.0,435751.0
Vernon Maxwell,1991,SG,25.0,HOU,82.0,79.0,2870.0,504.0,1247.0,0.4041700080192462,217.0,296.0,0.7331081081081081,1397.0,325000.0,708096.0
Travis Mays,1991,PG,22.0,SAC,64.0,55.0,2145.0,294.0,724.0,0.40607734806629836,255.0,331.0,0.770392749244713,915.0,1000000.0,2178757.0
George McCloud,1991,SF,23.0,IND,74.0,0.0,1070.0,131.0,351.0,0.3732193732193732,38.0,49.0,0.7755102040816326,343.0,990000.0,2156969.0
Tim McCormick,1991,C,28.0,ATL,56.0,7.0,689.0,93.0,187.0,0.49732620320855614,66.0,90.0,0.7333333333333333,252.0,825000.0,1797474.0
Rodney McCray,1991,PF,29.0,DAL,74.0,68.0,2561.0,336.0,679.0,0.4948453608247423,159.0,198.0,0.803030303030303,844.0,1025000.0,2233226.0
Xavier McDaniel,1991,SF,27.0,TOT,81.0,79.0,2634.0,590.0,1186.0,0.4974704890387858,193.0,267.0,0.7228464419475655,1373.0,1625000.0,3540480.0
Xavier McDaniel,1991,SF,27.0,SEA,15.0,15.0,529.0,139.0,290.0,0.4793103448275862,49.0,69.0,0.7101449275362319,327.0,1625000.0,3540480.0
Xavier McDaniel,1991,SF,27.0,PHO,66.0,64.0,2105.0,451.0,896.0,0.5033482142857143,144.0,198.0,0.7272727272727273,1046.0,1625000.0,3540480.0
Kevin McHale,1991,PF,33.0,BOS,68.0,10.0,2067.0,504.0,912.0,0.5526315789473685,228.0,275.0,0.8290909090909091,1251.0,3500000.0,7625650.0
Derrick McKey,1991,SF,24.0,SEA,73.0,55.0,2503.0,438.0,847.0,0.5171192443919717,235.0,278.0,0.8453237410071942,1115.0,1112000.0,2422778.0
Nate McMillan,1991,SG,26.0,SEA,78.0,0.0,1434.0,132.0,305.0,0.43278688524590164,57.0,93.0,0.6129032258064516,338.0,733000.0,1597029.0
Reggie Miller,1991,SG,25.0,IND,82.0,82.0,2972.0,596.0,1164.0,0.5120274914089347,551.0,600.0,0.9183333333333333,1855.0,3211000.0,6995989.0
Terry Mills,1991,PF,23.0,TOT,55.0,2.0,819.0,134.0,288.0,0.4652777777777778,47.0,66.0,0.7121212121212122,315.0,850000.0,1851943.0
Terry Mills,1991,PF,23.0,DEN,17.0,0.0,279.0,56.0,120.0,0.4666666666666667,16.0,22.0,0.7272727272727273,128.0,850000.0,1851943.0
Terry Mills,1991,PF,23.0,NJN,38.0,2.0,540.0,78.0,168.0,0.4642857142857143,31.0,44.0,0.7045454545454546,187.0,850000.0,1851943.0
Sam Mitchell,1991,PF,27.0,MIN,82.0,60.0,3121.0,445.0,1010.0,0.4405940594059406,307.0,396.0,0.7752525252525253,1197.0,630000.0,1372617.0
Chris Morris,1991,SF,25.0,NJN,79.0,68.0,2553.0,409.0,962.0,0.42515592515592515,179.0,244.0,0.7336065573770492,1042.0,650000.0,1416192.0
John Morton,1991,SF,23.0,CLE,66.0,2.0,1207.0,120.0,274.0,0.43795620437956206,113.0,139.0,0.8129496402877698,357.0,450000.0,980440.0
Chris Mullin,1991,SF,27.0,GSW,82.0,82.0,3315.0,777.0,1449.0,0.5362318840579711,513.0,580.0,0.8844827586206897,2107.0,2844000.0,6196385.0
Tod Murphy,1991,PF,27.0,MIN,52.0,19.0,1063.0,90.0,227.0,0.3964757709251101,70.0,105.0,0.6666666666666666,251.0,760000.0,1655855.0
Jerrod Mustaf,1991,PF,21.0,NYK,62.0,5.0,825.0,106.0,228.0,0.4649122807017544,56.0,87.0,0.6436781609195402,268.0,735000.0,1601386.0
Larry Nance,1991,PF,31.0,CLE,80.0,78.0,2927.0,635.0,1211.0,0.5243600330305532,265.0,330.0,0.803030303030303,1537.0,1363000.0,2969646.0
Ed Nealy,1991,PF,30.0,PHO,55.0,0.0,573.0,45.0,97.0,0.4639175257731959,28.0,38.0,0.7368421052631579,123.0,650000.0,1416192.0
Johnny Newman,1991,SF,27.0,CHH,81.0,81.0,2477.0,478.0,1017.0,0.47000983284169123,385.0,476.0,0.8088235294117647,1371.0,1206000.0,2627581.0
Ken Norman,1991,SF,26.0,LAC,70.0,45.0,2309.0,520.0,1037.0,0.5014464802314368,173.0,275.0,0.6290909090909091,1219.0,1150000.0,2505570.0
Charles Oakley,1991,PF,27.0,NYK,76.0,74.0,2739.0,307.0,595.0,0.5159663865546219,239.0,305.0,0.7836065573770492,853.0,1050000.0,2287695.0
Alan Ogg,1991,C,23.0,MIA,31.0,1.0,261.0,24.0,55.0,0.43636363636363634,6.0,10.0,0.6,54.0,202000.0,440108.0
Hakeem Olajuwon,1991,C,28.0,HOU,56.0,50.0,2062.0,487.0,959.0,0.5078206465067779,213.0,277.0,0.7689530685920578,1187.0,3170000.0,6906660.0
Brian Oliver,1991,SG,22.0,PHI,73.0,4.0,800.0,111.0,272.0,0.40808823529411764,52.0,71.0,0.7323943661971831,279.0,456000.0,993513.0
Walter Palmer,1991,C,22.0,UTA,28.0,0.0,85.0,15.0,45.0,0.3333333333333333,10.0,15.0,0.6666666666666666,40.0,275000.0,599158.0
Robert Parish,1991,C,37.0,BOS,81.0,81.0,2441.0,485.0,811.0,0.5980271270036991,237.0,309.0,0.7669902912621359,1207.0,3000000.0,6536272.0
John Paxson,1991,PG,30.0,CHI,82.0,82.0,1971.0,317.0,578.0,0.5484429065743944,34.0,41.0,0.8292682926829268,710.0,1600000.0,3486011.0
Kenny Payne,1991,SF,24.0,PHI,47.0,6.0,444.0,68.0,189.0,0.35978835978835977,26.0,29.0,0.896551724137931,166.0,410000.0,893290.0
Gary Payton,1991,PG,22.0,SEA,82.0,82.0,2244.0,259.0,575.0,0.4504347826086956,69.0,97.0,0.711340206185567,588.0,1883000.0,4102600.0
Will Perdue,1991,C,25.0,CHI,74.0,3.0,972.0,116.0,235.0,0.49361702127659574,75.0,112.0,0.6696428571428571,307.0,500000.0,1089378.0
Sam Perkins,1991,PF,29.0,LAL,73.0,66.0,2504.0,368.0,744.0,0.4946236559139785,229.0,279.0,0.8207885304659498,983.0,2507000.0,5462144.0
Tim Perry,1991,C,25.0,PHO,46.0,2.0,587.0,75.0,144.0,0.5208333333333334,43.0,70.0,0.6142857142857143,193.0,675000.0,1470661.0
Chuck Person,1991,SF,26.0,IND,80.0,79.0,2566.0,620.0,1231.0,0.503655564581641,165.0,229.0,0.7205240174672489,1474.0,2156000.0,4697400.0
Jim Petersen,1991,C,28.0,GSW,62.0,21.0,834.0,114.0,236.0,0.4830508474576271,50.0,76.0,0.6578947368421053,279.0,936000.0,2039316.0
Ricky Pierce,1991,SG,31.0,TOT,78.0,2.0,2167.0,561.0,1156.0,0.4852941176470588,430.0,471.0,0.9129511677282378,1598.0,1750000.0,3812825.0
Ricky Pierce,1991,SG,31.0,MIL,46.0,0.0,1327.0,359.0,720.0,0.4986111111111111,282.0,311.0,0.9067524115755627,1037.0,1750000.0,3812825.0
Ricky Pierce,1991,SG,31.0,SEA,32.0,2.0,840.0,202.0,436.0,0.463302752293578,148.0,160.0,0.925,561.0,1750000.0,3812825.0
Ed Pinckney,1991,PF,27.0,BOS,70.0,16.0,1165.0,131.0,243.0,0.5390946502057613,104.0,116.0,0.896551724137931,366.0,900000.0,1960881.0
Scottie Pippen,1991,SF,25.0,CHI,82.0,82.0,3014.0,600.0,1153.0,0.5203816131830009,240.0,340.0,0.7058823529411765,1461.0,2770000.0,6035157.0
Olden Polynice,1991,C,26.0,TOT,79.0,30.0,2092.0,316.0,564.0,0.5602836879432624,146.0,252.0,0.5793650793650794,778.0,750000.0,1634068.0
Olden Polynice,1991,C,26.0,SEA,48.0,0.0,960.0,165.0,303.0,0.5445544554455446,67.0,114.0,0.5877192982456141,397.0,750000.0,1634068.0
Olden Polynice,1991,C,26.0,LAC,31.0,30.0,1132.0,151.0,261.0,0.578544061302682,79.0,138.0,0.572463768115942,381.0,750000.0,1634068.0
Terry Porter,1991,PG,27.0,POR,81.0,81.0,2665.0,486.0,944.0,0.5148305084745762,279.0,339.0,0.8230088495575221,1381.0,1787000.0,3893439.0
Paul Pressey,1991,SG,32.0,SAS,70.0,18.0,1683.0,201.0,426.0,0.47183098591549294,110.0,133.0,0.8270676691729323,528.0,1000000.0,2178757.0
Mark Price,1991,PG,26.0,CLE,16.0,16.0,571.0,97.0,195.0,0.49743589743589745,59.0,62.0,0.9516129032258065,271.0,1520000.0,3311711.0
Kevin Pritchard,1991,PG,23.0,GSW,62.0,1.0,773.0,88.0,229.0,0.38427947598253276,62.0,77.0,0.8051948051948052,243.0,288000.0,627481.0
Brian Quinnett,1991,SG,24.0,NYK,68.0,5.0,1011.0,139.0,303.0,0.45874587458745875,26.0,36.0,0.7222222222222222,319.0,450000.0,980440.0
Kurt Rambis,1991,PF,32.0,PHO,62.0,17.0,900.0,83.0,167.0,0.49700598802395207,60.0,85.0,0.7058823529411765,226.0,950000.0,2069819.0
Blair Rasmussen,1991,C,28.0,DEN,70.0,69.0,2325.0,405.0,885.0,0.4576271186440678,63.0,93.0,0.6774193548387096,875.0,1558000.0,3394503.0
J.R. Reid,1991,C,22.0,CHH,80.0,80.0,2467.0,360.0,773.0,0.46571798188874514,182.0,259.0,0.7027027027027027,902.0,1250000.0,2723446.0
Jerry Reynolds,1991,SG,28.0,ORL,80.0,9.0,1843.0,344.0,793.0,0.4337957124842371,336.0,419.0,0.801909307875895,1034.0,1300000.0,2832384.0
Glen Rice,1991,SF,23.0,MIA,77.0,77.0,2646.0,550.0,1193.0,0.46102263202011734,171.0,209.0,0.8181818181818182,1342.0,1302000.0,2836742.0
Pooh Richardson,1991,PG,24.0,MIN,82.0,82.0,3154.0,635.0,1350.0,0.4703703703703704,89.0,165.0,0.5393939393939394,1401.0,760000.0,1655855.0
Mitch Richmond,1991,SG,25.0,GSW,77.0,77.0,3027.0,703.0,1424.0,0.4936797752808989,394.0,465.0,0.8473118279569892,1840.0,950000.0,2069819.0
Doc Rivers,1991,PG,29.0,ATL,79.0,79.0,2586.0,444.0,1020.0,0.43529411764705883,221.0,262.0,0.8435114503816794,1197.0,1195000.0,2603615.0
Fred Roberts,1991,PF,30.0,MIL,82.0,82.0,2114.0,357.0,670.0,0.5328358208955224,170.0,209.0,0.8133971291866029,888.0,791000.0,1723397.0
Alvin Robertson,1991,SG,28.0,MIL,81.0,81.0,2598.0,438.0,904.0,0.48451327433628316,199.0,263.0,0.7566539923954373,1098.0,1033000.0,2250656.0
David Robinson,1991,C,25.0,SAS,82.0,81.0,3095.0,754.0,1366.0,0.5519765739385066,592.0,777.0,0.7619047619047619,2101.0,2240000.0,4880416.0
Rumeal Robinson,1991,PG,24.0,ATL,47.0,16.0,674.0,108.0,242.0,0.4462809917355372,47.0,80.0,0.5875,265.0,1025000.0,2233226.0
Dennis Rodman,1991,SF,29.0,DET,82.0,77.0,2747.0,276.0,560.0,0.4928571428571429,111.0,176.0,0.6306818181818182,669.0,1075000.0,2342164.0
Tree Rollins,1991,C,35.0,DET,37.0,0.0,202.0,14.0,33.0,0.42424242424242425,8.0,14.0,0.5714285714285714,36.0,375000.0,817034.0
Delaney Rudd,1991,PG,28.0,UTA,82.0,0.0,874.0,124.0,285.0,0.43508771929824563,59.0,71.0,0.8309859154929577,324.0,240000.0,522901.0
John Salley,1991,PF,26.0,DET,74.0,1.0,1649.0,179.0,377.0,0.47480106100795755,186.0,256.0,0.7265625,544.0,2000000.0,4357514.0
Ralph Sampson,1991,C,30.0,SAC,25.0,4.0,348.0,34.0,93.0,0.3655913978494624,5.0,19.0,0.2631578947368421,74.0,2685000.0,5849963.0
Jeff Sanders,1991,PF,25.0,CHH,3.0,0.0,43.0,6.0,14.0,0.42857142857142855,1.0,2.0,0.5,13.0,385000.0,838821.0
Mike Sanders,1991,SF,30.0,IND,80.0,7.0,1357.0,206.0,494.0,0.41700404858299595,47.0,57.0,0.8245614035087719,463.0,860000.0,1873731.0
Danny Schayes,1991,C,31.0,MIL,82.0,38.0,2228.0,298.0,597.0,0.4991624790619765,274.0,328.0,0.8353658536585366,870.0,1600000.0,3486011.0
Dwayne Schintzius,1991,C,22.0,SAS,42.0,7.0,398.0,68.0,155.0,0.43870967741935485,22.0,40.0,0.55,158.0,650000.0,1416192.0
Detlef Schrempf,1991,PF,28.0,IND,82.0,3.0,2632.0,432.0,831.0,0.51985559566787,441.0,539.0,0.8181818181818182,1320.0,1278000.0,2784451.0
Byron Scott,1991,SG,29.0,LAL,82.0,82.0,2630.0,501.0,1051.0,0.47668886774500474,118.0,148.0,0.7972972972972973,1191.0,1100000.0,2396633.0
Dennis Scott,1991,SG,22.0,ORL,82.0,73.0,2336.0,503.0,1183.0,0.4251901944209637,153.0,204.0,0.75,1284.0,1980000.0,4313939.0
Rony Seikaly,1991,C,25.0,MIA,64.0,59.0,2171.0,395.0,822.0,0.4805352798053528,258.0,417.0,0.6187050359712231,1050.0,2002000.0,4361872.0
